#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   9.41 -0.07  0.48630 -1.400 3.598  4.861  8.60  0.035 0.00 16.870 20.265 19.190 17.906 17.022 16.207 15.252 14.600 14.458  0.486 
 1   9.41 -0.05  0.70438 -0.828 3.655  4.678 10.80  0.038 0.00 17.641 20.241 19.322 18.217 17.524 16.978 16.196 15.550 15.466  0.704 
 1   9.41  0.15  0.44993 -1.517 3.581  4.879  9.50  0.037 0.80 17.562 21.402 20.268 18.947 17.982 16.923 15.851 15.246 15.063  0.450 
 1   9.43 -0.35  1.02037  0.137 3.796  4.440  8.50  0.034 0.00 12.927 13.440 13.510 13.003 12.684 12.396 12.048 11.769 11.744  1.020 
 1   9.43 -0.29  1.31627  0.736 3.818  4.041 11.10  0.038 0.00 14.029 14.456 14.500 14.076 13.802 13.554 13.259 13.031 13.010  1.316 
 1   9.43 -0.03  0.22059 -2.150 3.546  5.063  7.40  0.029 0.95 16.843 21.321 19.956 18.458 17.422 16.235 15.094 14.524 14.286  0.221 
 1   9.43 -0.03  0.91098 -0.275 3.731  4.544  9.00  0.036 0.00 14.459 15.789 15.439 14.631 14.174 13.790 13.269 12.852 12.805  0.911 
 1   9.43  0.13  1.34939  0.608 3.791  4.070  8.20  0.033 0.00 11.450 12.140 12.054 11.486 11.152 10.867 10.517 10.247 10.218  1.349 
 1   9.43  0.13  0.83976 -0.504 3.692  4.582  9.60  0.037 0.95 15.018 17.159 16.400 15.393 14.798 14.328 13.655 13.109 13.042  0.840 
 1   9.45 -0.35  0.24390 -2.007 3.570  5.061  8.40  0.034 0.95 17.493 21.458 20.196 18.751 17.780 16.836 15.813 15.234 15.027  0.244 
 1   9.45 -0.25  0.48117 -1.376 3.606  4.867  9.70  0.037 0.97 17.204 20.443 19.409 18.137 17.281 16.538 15.622 14.973 14.833  0.481 
 1   9.45 -0.19  1.21221  0.496 3.818  4.243  9.70  0.037 0.00 13.229 13.663 13.712 13.272 12.994 12.745 12.451 12.222 12.201  1.212 
 1   9.45 -0.15  0.52583 -1.279 3.611  4.828  9.30  0.037 0.00 17.268 20.469 19.424 18.171 17.333 16.609 15.700 15.031 14.903  0.526 
 1   9.45 -0.11  1.11651  0.226 3.791  4.371 11.90  0.038 0.83 15.762 16.496 16.443 15.846 15.490 15.177 14.781 14.465 14.432  1.117 
 1   9.45 -0.09  1.44269  0.791 3.712  3.599 10.60  0.038 0.88 12.877 13.930 13.733 13.034 12.619 12.257 11.758 11.350 11.303  1.443 
 1   9.45 -0.01  0.37076 -1.706 3.573  4.951  8.20  0.033 0.00 17.234 21.082 19.925 18.573 17.609 16.576 15.525 14.938 14.748  0.371 
 1   9.45  0.17  1.07548  0.077 3.764  4.394  7.30  0.028 0.00 11.878 12.849 12.646 11.954 11.562 11.235 10.815 10.486 10.451  1.075 
 1   9.47 -0.45  0.66283 -0.812 3.671  4.702  9.80  0.037 0.00 16.600 18.739 18.050 17.049 16.436 15.933 15.214 14.620 14.540  0.663 
 1   9.47 -0.33  0.60438 -1.024 3.641  4.755 10.90  0.038 0.84 17.760 20.582 19.646 18.478 17.721 17.102 16.263 15.601 15.490  0.604 
 1   9.47 -0.29  0.70332 -0.746 3.673  4.669  7.40  0.029 0.78 13.701 16.026 15.261 14.215 13.563 13.029 12.276 11.661 11.572  0.703 
 1   9.47 -0.27  1.35783  0.924 3.797  3.782 12.00  0.038 0.00 14.460 15.013 15.013 14.518 14.208 13.927 13.582 13.315 13.287  1.358 
 1   9.47 -0.07  0.47478 -1.426 3.595  4.867  9.40  0.037 0.00 17.734 21.176 20.094 18.802 17.909 17.073 16.108 15.463 15.316  0.475 
 1   9.47 -0.07  1.23576  0.495 3.805  4.202  9.90  0.037 0.00 13.433 13.959 13.969 13.475 13.172 12.905 12.584 12.334 12.309  1.236 
 1   9.47 -0.03  0.32755 -1.818 3.567  4.986  8.80  0.035 0.98 17.382 21.376 20.163 18.771 17.793 16.737 15.670 15.086 14.882  0.328 
 1   9.47 -0.03  1.01717  0.002 3.763  4.442  9.50  0.037 0.00 14.264 15.175 15.033 14.362 13.974 13.641 13.212 12.872 12.836  1.017 
 1   9.47 -0.01  0.86151 -0.407 3.713  4.577  9.60  0.037 0.00 15.387 17.010 16.512 15.627 15.122 14.706 14.126 13.658 13.604  0.862 
 1   9.47 -0.01  1.35959  0.677 3.788  3.992 10.40  0.038 0.72 13.310 14.035 13.957 13.373 13.027 12.726 12.346 12.049 12.017  1.360 
 1   9.47  0.01  1.17477  0.356 3.793  4.270 10.70  0.038 0.87 14.187 14.904 14.838 14.251 13.904 13.603 13.227 12.930 12.899  1.175 
 1   9.47  0.01  1.14923  0.302 3.789  4.300 11.00  0.038 0.82 14.717 15.491 15.403 14.794 14.434 14.123 13.728 13.413 13.380  1.149 
 1   9.47  0.03  0.57084 -1.200 3.612  4.789  8.90  0.036 0.00 16.671 19.921 18.844 17.597 16.758 16.019 15.098 14.411 14.291  0.571 
